# Table 25 from F. Geth et al., An overview of large-scale stationary electricity storage plants in Europe  (2015) 1212–1227
country,n,p_nom_discharge,p_nom_charge,e_stor
AT,19,4.051,3.246,132.41
BE,3,1.301,1.196,5.71
BG,3,1.399,0.93,11.13
HR,3,0.281,0.246,2.34
CY,0,-,-,-
CZ,3,1.119,1.145,5.72
DK,0,-,-,-
EE,0,-,-,-
FI     ,0,-,-,-
FR,10,5.512,4.317,83.37
DE,34,6.805,6.417,39.12
GR,2,0.735,-,4.97
HU,0,-,-,-
IE,1,0.292,-,1.8
IT,25,7.833,7.64,68.27
LV,0,-,-,-
LT,1,0.9,0.88,10.8
LU,1,1.296,1.05,4.92
MT,0,-,-,-
NL,0,-,-,-
PL,6,1.757,1.647,7.96
PT,7,1.279,-,40.77
RO,5,0.285,0.2,10.2
SK,4,1.016,0.79,3.63
SI,1,0.185,0.18,0.5
ES,26,6.358,5.859,70
SE,2,0.091,-,72.12
GB,4,2.788,2.65,26.7
NO,8,1.273,0.892,399.39
CH,20,2.291,1.512,311.48
