Attribute,Type,Unit,Default,Description,Status
name,string,n/a,n/a,Unique name,Input (required)
bus,string,n/a,n/a,"Name of bus to which store is attached.",Input (required)
e_nom,float,MWh,0.,Nominal energy capacity., Input (optional)
e_nom_extendable,boolean,n/a,False,Switch to allow capacity e_nom to be extended in OPF., Input (optional)
e_nom_min,float,MWh,0.,"If e_nom is extendable in OPF, set its minimum value.", Input (optional)
e_nom_max,float,MWh,inf,"If e_nom is extendable in OPF, set its maximum value (e.g. limited by potential).", Input (optional)
e_min_pu_fixed,float,per unit,0.,"Minimal value of e relative to e_nom for the OPF.",Input (optional)
e_max_pu_fixed,float,per unit,1.,"Maximal value of e relative to e_nom for the OPF.",Input (optional)
e_initial,float,MWh,0.,Energy before the snapshots in the OPF.,Input (optional)
e_cyclic,boolean,n/a,False,"Switch: if True, then e_initial is ignored and the initial energy is set to the final energy for the group of snapshots in the OPF.",Input (optional)
p_set,series,MW,0.,active power set point (for PF),Input (optional)
q_set,series,MVar,0.,reactive power set point (for PF),Input (optional)
sign,float,n/a,1.,power sign,Input (optional)
marginal_cost,float,currency/MWh,0.,"Marginal cost of production of 1 MWh.",Input (optional)
capital_cost,float,currency/MWh,0.,"Capital cost of extending e_nom by 1 MWh.",Input (optional)
standing_loss,float,per unit,0.,Losses per hour to energy.,Input (optional)
p,series of floats,MW,0.,active power at bus (positive if net generation),Output
q,series of floats,MVar,0.,reactive power (positive if net generation),Output
e,series of floats,MWh,0.,Energy as calculated by the OPF.,Output
e_nom_opt,float,MW,0.,Optimised nominal power.,Output
