snapshots,Norwich Converter,Norway Converter,Bremen Converter,DC link
2015-01-01 00:00:00,35.7962441027,415.4625642653,-451.258808368,-16.1083098462
2015-01-01 01:00:00,976.8245614698,262.6061464526,-1239.4307079224,-439.5710526614
2015-01-01 02:00:00,250.5873120464,418.4763531902,-669.0636652366,-112.7642904209
2015-01-01 03:00:00,130.7531445827,552.9595393098,-683.7126838925,-58.8389150622
2015-01-01 04:00:00,151.1001686,218.159858091,-369.260026691,-67.99507587
2015-01-01 05:00:00,931.857051942,791.9762655836,-1723.8333175256,-419.3356733739
2015-01-01 06:00:00,289.8482871447,531.8706808219,-821.7189679666,-130.4317292151
2015-01-01 07:00:00,864.3433217147,23.5134667186,-887.8567884333,-388.9544947716
2015-01-01 08:00:00,689.5772637703,970.0590684572,-1659.6363322275,-310.3097686966
2015-01-01 09:00:00,627.8789859434,0.9248336907,-628.8038196341,-282.5455436745
