name,bus,capital_cost,carrier,efficiency,marginal_cost,p_max_pu,p_min_pu,p_nom,p_nom_extendable,p_nom_min
Wind 0,0,2558.68982845,wind,1.0,0.00417304802367,1.0,0.0,100.0,True,100.0
Gas 0,0,119.810148908,gas,0.358007445687,2.56154775438,0.85,0.02,350.0,False,0.0
Wind 1,1,2876.3891523,wind,1.0,0.00692322615669,1.0,0.0,100.0,True,100.0
Gas 1,1,108.504421137,gas,0.350390547832,5.57842665402,0.85,0.02,0.0,True,0.0
Wind 2,2,2421.10762501,wind,1.0,0.000983468338331,1.0,0.0,150.0,False,100.0
Gas 2,2,153.316528497,gas,0.35691877114,5.8315581206,0.85,0.02,0.0,True,0.0
Wind 3,3,2018.28827734,wind,1.0,0.00834625671897,1.0,0.0,100.0,True,100.0
Gas 3,3,198.886108891,gas,0.357481656544,5.00057725978,0.85,0.02,0.0,True,0.0
Wind 4,4,2447.89352618,wind,1.0,0.00103226006578,1.0,0.0,100.0,True,100.0
Gas 4,4,129.361414837,gas,0.352877753386,5.63438201237,0.85,0.02,0.0,True,0.0
Wind 5,5,2211.628116,wind,1.0,0.0067883553294,1.0,0.0,100.0,True,100.0
Gas 5,5,149.157315928,gas,0.350533625451,3.06218663749,0.85,0.02,0.0,True,0.0
