name,bus,capital_cost,control,dispatch,efficiency,marginal_cost,p_max_pu_fixed,p_min_pu_fixed,p_nom,p_nom_extendable,p_nom_min,p_nom_opt,source
Wind 0,0,2558.68982845,Slack,variable,1.0,0.00417304802367,1.0,0.0,100.0,True,100.0,100.0,wind
Gas 0,0,119.810148908,PQ,flexible,0.358007445687,2.56154775438,0.85,0.02,350.0,False,0.0,350.0,gas
Wind 1,1,2876.3891523,PQ,variable,1.0,0.00692322615669,1.0,0.0,100.0,True,100.0,1236.97875589,wind
Gas 1,1,108.504421137,PQ,flexible,0.350390547832,5.57842665402,0.85,0.02,0.0,True,0.0,226.478911207,gas
Wind 2,2,2421.10762501,PQ,variable,1.0,0.000983468338331,1.0,0.0,150.0,False,100.0,150.0,wind
Gas 2,2,153.316528497,PQ,flexible,0.35691877114,5.8315581206,0.85,0.02,0.0,True,0.0,4.10390837952e-27,gas
Wind 3,3,2018.28827734,Slack,variable,1.0,0.00834625671897,1.0,0.0,100.0,True,100.0,100.0,wind
Gas 3,3,198.886108891,PQ,flexible,0.357481656544,5.00057725978,0.85,0.02,0.0,True,0.0,0.0,gas
Wind 4,4,2447.89352618,PQ,variable,1.0,0.00103226006578,1.0,0.0,100.0,True,100.0,100.0,wind
Gas 4,4,129.361414837,PQ,flexible,0.352877753386,5.63438201237,0.85,0.02,0.0,True,0.0,0.0,gas
Wind 5,5,2211.628116,PQ,variable,1.0,0.0067883553294,1.0,0.0,100.0,True,100.0,4284.34239127,wind
Gas 5,5,149.157315928,PQ,flexible,0.350533625451,3.06218663749,0.85,0.02,0.0,True,0.0,0.0,gas
