attribute,type,unit,default,description,status
name,string,n/a,n/a,Unique name,Input (required)
bus,string,n/a,n/a,name of bus to which generator is attached,Input (required)
control,string,n/a,PQ,"P,Q,V control strategy for PF, must be ""PQ"", ""PV"" or ""Slack"".",Input (optional)
type,string,n/a,n/a,Placeholder for generator type. Not yet implemented.,Input (optional)
p_nom,float,MW,0,Nominal power for limits in OPF.,Input (optional)
p_nom_extendable,boolean,n/a,False,Switch to allow capacity p_nom to be extended in OPF.,Input (optional)
p_nom_min,float,MW,0,"If p_nom is extendable in OPF, set its minimum value.",Input (optional)
p_nom_max,float,MW,inf,"If p_nom is extendable in OPF, set its maximum value (e.g. limited by technical potential).",Input (optional)
p_min_pu,static or series,per unit,0,"The minimum output for each snapshot per unit of p_nom for the OPF (e.g. for variable renewable generators this can change due to weather conditions and compulsory feed-in; for conventional generators it represents a minimal dispatch). Note that if comittable is False and p_min_pu > 0, this represents a must-run condition.",Input (optional)
p_max_pu,static or series,per unit,1,The maximum output for each snapshot per unit of p_nom for the OPF (e.g. for variable renewable generators this can change due to weather conditions; for conventional generators it represents a maximum dispatch).,Input (optional)
p_set,static or series,MW,0,active power set point (for PF),Input (optional)
q_set,static or series,MVar,0,reactive power set point (for PF),Input (optional)
sign,float,n/a,1,power sign,Input (optional)
carrier,string,n/a,n/a,"Prime mover energy carrier (e.g. coal, gas, wind, solar); required for global constraints on primary energy in OPF",Input (optional)
marginal_cost,static or series,currency/MWh,0,Marginal cost of production of 1 MWh.,Input (optional)
capital_cost,float,currency/MW,0,Capital cost of extending p_nom by 1 MW.,Input (optional)
efficiency,float,per unit,1,"Ratio between primary energy and electrical energy, e.g. takes value 0.4 MWh_elec/MWh_thermal for gas. This is required for global constraints on primary energy in OPF.",Input (optional)
committable,boolean,n/a,False,Use unit commitment (only possible if p_nom is not extendable).,Input (optional)
start_up_cost,float,currency,0,Cost to start up the generator. Only read if committable is True.,Input (optional)
shut_down_cost,float,currency,0,Cost to shut down the generator. Only read if committable is True.,Input (optional)
min_up_time,int,snapshots,0,Minimum number of snapshots for status to be 1.  Only read if committable is True.,Input (optional)
min_down_time,int,snapshots,0,Minimum number of snapshots for status to be 0.  Only read if committable is True.,Input (optional)
up_time_before,int,snapshots,1,Number of snapshots that the generator was online before network.snapshots start. Only read if committable is True and min_up_time is non-zero.,Input (optional)
down_time_before,int,snapshots,0,Number of snapshots that the generator was online before network.snapshots start. Only read if committable is True and min_down_time is non-zero.,Input (optional)
ramp_limit_up,float,per unit,NaN,"Maximum active power increase from one snapshot to the next, per unit of the nominal power. Ignored if NaN.",Input (optional)
ramp_limit_down,float,per unit,NaN,"Maximum active power decrease from one snapshot to the next, per unit of the nominal power. Ignored if NaN.",Input (optional)
ramp_limit_start_up,float,per unit,1,"Maximum active power increase at start up, per unit of the nominal power.   Only read if committable is True.",Input (optional)
ramp_limit_shut_down,float,per unit,1,"Maximum active power decrease at shut down, per unit of the nominal power.   Only read if committable is True.",Input (optional)
control_strategy,string,n/a,n/a,"Inverter control type, supported types are: q_v (v1, v2, v3, v4, s_nom, power_factor, damper), fixed_cosphi (power_factor) , and cosphi_p (set_p1,  set_p2, s_nom, power_factor_min, p_ref), for futher details regarding supported control_types, read here:  https://pypsa.readthedocs.io/en/latest/power_flow.html .",Input (optional)
power_factor,static or series,n/a,1,"Power factor is default to 1 and can take values (0, 1], required when control_strategy is chosen ""fixed_cosphi"" and ""q_v"". This factor is used to calculate the amount of reactive power compensation according to the active power generation and the amount of available reactive power capacity  of the inverter. For further details: https://pypsa.readthedocs.io/en/latest/power_flow.html.",Input (optional)
s_nom,float,MVA,1,"Inverter nominal apparent power, required when control_strategy is chosen ""q_v""  or  ""cosphi_p"".",Input (optional)
v1,float,n/a,0.9,"Minimum voltage magnitude per unit for left curve of q_v controller, required when control_strategy is chosen  ""q_v"".  v1 togeather with v2, v3 and v4 are set points for q_v controller reactive power compensation curve. Controller decides the amount of reactive power after finding the location of v_mag_pu of the bus (inverter is connected to) on this curve. This curve has five zones according to possible locations for v_mag_pu of the controlled bus. Zone 1: where v_mag_pu bus is less than v1,  Zone 2: where v_mag_pu bus is between v1 and v2, Zone 3: where v_mag_pu bus is between v2 and v3, Zone 4: where v_mag_pu bus is between v3 and v4 and Zone 5: where v_mag_pu is greater than v4. Zone 1 is undervoltage case, Zone 2 is between normal and undervoltage, zone 3 is neutral zone where no compensation is needed, zone 4 is between normal range and overvoltage and zone 5 is the overvoltage zone. According to the location of v_mag_pu of the bus, controller will provide an amount of reactive power to bring the voltage as closer as possible to zone 3, Therefore, pay attention on choice of v2 and v3 since they form zone 3 where controller recognizes it as the zone that needs no reactive power compensation and uses it as the reference to provide reactive power for other zones occurance.  Note: Throughout the curve this relation v1 < v2 < v3 < v4 should be considered. For further details  https://pypsa.readthedocs.io/en/latest/power_flow.html.",Input (optional)
v2,float,n/a,0.95,"Maximum voltage magnitude per unit for left curve of q_v controller, required when control_strategy is chosen  ""q_v"", for further details  please read the description for v1.",Input (optional)
v3,float,n/a,0.96,"Minimum voltage magnitude per unit for right curve of q_v controller, required when control_strategy is chosen  ""q_v"", for further details  please read the description for v1.",Input (optional)
v4,float,n/a,1.01,"Maximum voltage magnitude per unit for right curve of q_v controller, required when control_strategy is chosen  ""q_v"", for further details  please read the description for v1.",Input (optional)
damper,float,n/a,1,"Damper value is default to 1 but it can take values (0, 1]  and controls output (it is multiplied to the controller output ) of the voltage dependent controllers by changing its value in case controller is not converging, It helps the controller to converge without affecting the pf results.   required when control_strategy is chosen  ""q_v"" .",Input (optional)
set_p1,float,n/a,50,"It is a set point  in percentage, where it tells the controller to work with unity power factor if  (p_set / p_ref)*100  <  set_p1, (see description for p_ref). Required when control_strategy is  chosen  ""cosphi_p"". For further details https://pypsa.readthedocs.io/en/latest/power_flow.html.",Input (optional)
set_p2,float,n/a,100,"It is a set point in percentage,  where it tells controller to work with ""power_factor_min"" if  (p_set / p_ref)*100   >  set_p2, (see the description for p_ref) required when the control_strategy is  chosen  ""cosphi_p"".  For further details https://pypsa.readthedocs.io/en/latest/power_flow.html.",Input (optional)
p_ref,float,MW,0.1,"It is a set point for cosphi_p inverter control for power factor choice. Using p_ref controller recognizes three zones, Zone1: p_set / p_ref <= set_p1, Zone2: set_p2 > p_set / p_ref  > set_p1 and Zone 3: p_set / p_ref > set_p2. For zone 1, controller work with unity power factor (no reactive power compensation), for zone 2, controller chooses the right power factor according to the controller droop and for zone 3, controller work with power_factor_min for reactive power compensation. Required when control_strategy is  chosen  ""cosphi_p"". For further details https://pypsa.readthedocs.io/en/latest/power_flow.html.",Input (optional)
