attribute,type,unit,default,description,status
name,string,n/a,n/a,Unique name,Input (required)
bus0,string,n/a,n/a,Name of first bus to which link is attached.,Input (required)
bus1,string,n/a,n/a,Name of second bus to which link is attached.,Input (required)
type,string,n/a,n/a,Placeholder for link type. Not yet implemented.,Input (optional)
carrier,"string","n/a","","Energy carrier transported by the link: can be ""DC"" for electrical HVDC links, or ""heat"" or ""gas"" etc.","Input (optional)"
efficiency,static or series,per unit,1,Efficiency of power transfer from bus0 to bus1. (Can be time-dependent to represent temperature-dependent Coefficient of Performance of a heat pump from an electric to a heat bus.),Input (optional)
build_year,int,year,0,build year,Input (optional)
lifetime,float,years,inf,lifetime,Input (optional)
p_nom,float,MVA,0,Limit of active power which can pass through link.,Input (optional)
p_nom_extendable,boolean,n/a,False,Switch to allow capacity p_nom to be extended in OPF.,Input (optional)
p_nom_min,float,MVA,0,"If p_nom is extendable in OPF, set its minimum value.",Input (optional)
p_nom_max,float,MVA,inf,"If p_nom is extendable in OPF, set its maximum value (e.g. limited by potential).",Input (optional)
p_set,static or series,MW,0,The dispatch set point for p0 of the link in PF.,Input (optional)
p_min_pu,static or series,per unit of p_nom,0,Minimal dispatch (can also be negative) per unit of p_nom for the link in OPF.,Input (optional)
p_max_pu,static or series,per unit of p_nom,1,Maximal dispatch (can also be negative) per unit of p_nom for the link in OPF.,Input (optional)
capital_cost,float,currency/MW,0,Capital cost of extending p_nom by 1 MW.,Input (optional)
marginal_cost,static or series,currency/MWh,0,Marginal cost of transfering 1 MWh (before efficiency losses) from bus0 to bus1. NB: marginal cost only makes sense in OPF if p_max_pu >= 0.,Input (optional)
length,float,km,0,"Length of line, useful for calculating the capital cost.",Input (optional)
terrain_factor,float,per unit,1,Terrain factor for increasing capital cost.,Input (optional)
p0,series,MW,0,Active power at bus0 (positive if branch is withdrawing power from bus0).,Output
p1,series,MW,0,Active power at bus1 (positive if branch is withdrawing power from bus1).,Output
p_nom_opt,float,MVA,0,Optimised capacity for active power.,Output
mu_lower,series,currency/MVA,0,Shadow price of lower p_nom limit  -F \leq f. Always non-negative.,Output
mu_upper,series,currency/MVA,0,Shadow price of upper p_nom limit f \leq F. Always non-negative.,Output
mu_p_set,series,currency/MWh,0,Shadow price of fixed power transmission p_set,Output
