attribute,type,unit,default,description,status
name,string,n/a,n/a,Unique name,Input (required)
bus,string,n/a,n/a,Name of bus to which store is attached.,Input (required)
type,string,n/a,n/a,Placeholder for store type. Not yet implemented.,Input (optional)
e_nom,float,MWh,0,Nominal energy capacity.,Input (optional)
e_nom_extendable,boolean,n/a,False,Switch to allow capacity e_nom to be extended in OPF.,Input (optional)
e_nom_min,float,MWh,0,"If e_nom is extendable in OPF, set its minimum value.",Input (optional)
e_nom_max,float,MWh,inf,"If e_nom is extendable in OPF, set its maximum value (e.g. limited by technical potential).",Input (optional)
e_min_pu,static or series,per unit,0,Minimal value of e relative to e_nom for the OPF.,Input (optional)
e_max_pu,static or series,per unit,1,Maximal value of e relative to e_nom for the OPF.,Input (optional)
e_initial,float,MWh,0,Energy before the snapshots in the OPF.,Input (optional)
e_cyclic,boolean,n/a,False,"Switch: if True, then e_initial is ignored and the initial energy is set to the final energy for the group of snapshots in the OPF.",Input (optional)
p_set,static or series,MW,0,active power set point (for PF),Input (optional)
q_set,static or series,MVar,0,reactive power set point (for PF),Input (optional)
sign,float,n/a,1,power sign,Input (optional)
marginal_cost,static or series,currency/MWh,0,Marginal cost of production of 1 MWh.,Input (optional)
capital_cost,float,currency/MWh,0,Capital cost of extending e_nom by 1 MWh.,Input (optional)
standing_loss,float,per unit,0,Losses per hour to energy.,Input (optional)
type_of_control_strategy,string,n/a,n/a,"Inverter control type, supported types are: q_v (v1, v2, v3, v4, s_nom, power_factor, damper), fixed_cosphi (power_factor) , and cosphi_p (set_p1,  set_p2, s_nom, power_factor_min, p_ref) .",Input (optional)
power_factor,static or series,n/a,1,"Power factor is default to 1 and can take values (1 = >  power_factor  >  0), required when the type_of_control_strategy is chosen 'fixed_cosphi' and or 'q_v'.",Input (optional)
s_nom,float,MVA,1,"Inverter nominal apparent power, required when the type_of_control_strategy is chosen 'q_v'  or  'cosphi_p'.",Input (optional)
v1,float,n/a,0.9,"Minimum voltage magnitude per unit for left curve of q_v controller, required when the type_of_control_strategy is chosen  'q_v'.",Input (optional)
v2,float,n/a,0.95,"Maximum voltage magnitude per unit for left curve of q_v controller, required when the type_of_control_strategy is chosen  'q_v'.",Input (optional)
v3,float,n/a,0.96,"Minimum voltage magnitude per unit for right curve of q_v controller, required when the type_of_control_strategy is chosen  'q_v'.",Input (optional)
v4,float,n/a,1.01,"Maximum voltage magnitude per unit for right curve of q_v controller, required when the type_of_control_strategy is chosen  'q_v'.",Input (optional)
damper,float,n/a,1,"Damper value is default to 1 but it can take values (1 > =  damper  >  0) and controls output of the voltage dependent controllers by changing its value in case controller is not converging,  (it is multiplied to the controller output ),  required when the type_of_control_strategy is chosen  'q_v' .",Input (optional)
set_p1,float,n/a,50,"It is a set point  in percentage,  where it tells the controller to work with unity power factor if  (injected_power / s_nom)*100  <  set_p1, required when the type_of_control_strategy is  chosen  'cosphi_p'.",Input (optional)
set_p2,float,n/a,100,"It is a set point in percentage,  where it tells controller to work with 'power_factor_min' if  (injected_power / s_nom)*100   >  set_p2,  required when the type_of_control_strategy is  chosen  'cosphi_p'.",Input (optional)
p_ref,float,MW,0.1,"It is a set point for power injection of inverter at which controller starts  applying power factor, for injections before this point controller operates with unity power, required when the type_of_control_strategy is  chosen  'cosphi_p'.",Input (optional)
power_factor_min,float,n/a,0.9,"Minimum allowed power factor, required when the type_of_control_strategy is chosen  'cosphi_p'.",Input (optional)
p,series,MW,0,active power at bus (positive if net generation),Output
q,series,MVar,0,reactive power (positive if net generation),Output
e,series,MWh,0,Energy as calculated by the OPF.,Output
e_nom_opt,float,MW,0,Optimised nominal energy capacity outputed by OPF.,Output
mu_upper,series,currency/MWh,0,Shadow price of upper e_nom limit,Output
mu_lower,series,currency/MWh,0,Shadow price of lower e_nom limit,Output
mu_e_set,series,currency/MWh,0,Shadow price of fixed energy level e_set,Output
