attribute,status,dynamic,type,nullable,unit,default,description
name,required,False,str,True,,,Unique name
v_nom,configurable,False,float,True,kV,1.0,Nominal voltage
type,configurable,False,str,True,,,Placeholder for bus type. Not yet implemented.
x,configurable,False,float,True,,0.0,Position (e.g. longitude); the Spatial Reference System Identifier (SRID) is set in network.srid.
y,configurable,False,float,True,,0.0,Position (e.g. latitude); the Spatial Reference System Identifier (SRID) is set in network.srid.
carrier,configurable,False,str,True,,AC,"Energy carrier: can be ""AC"" or ""DC"" for electrical buses, or ""heat"" or ""gas""."
unit,configurable,False,str,True,,,"Unit of the bus’ carrier if the implicitly assumed unit (""MW"") is inappropriate (e.g. ""t/h"", ""MWh_th/h""). Only descriptive. Does not influence any PyPSA functions."
v_mag_pu_set,configurable,True,float,True,per unit,1.0,"Voltage magnitude set point, per unit of v_nom."
v_mag_pu_min,configurable,False,float,True,per unit,0.0,"Minimum desired voltage, per unit of v_nom. This is a placeholder attribute and is not currently used by any PyPSA functions."
v_mag_pu_max,configurable,False,float,True,per unit,inf,"Maximum desired voltage, per unit of v_nom.  This is a placeholder attribute and is not currently used by any PyPSA functions."
control,output,False,str,True,,PQ,"P,Q,V control strategy for PF, must be ""PQ"", ""PV"" or ""Slack"". Note that this attribute is an output inherited from the controls of the generators attached to the bus; setting it directly on the bus will not have any effect."
generator,output,False,str,True,,,Name of slack generator attached to slack bus.
sub_network,output,False,str,True,,,Name of connected sub-network to which bus belongs. This attribute is set by PyPSA in the function network.determine_network_topology(); do not set it directly by hand.
p,output,True,float,True,MW,0.0,active power at bus (positive if net generation at bus)
q,output,True,float,True,MVar,0.0,reactive power (positive if net generation at bus)
v_mag_pu,output,True,float,True,per unit,1.0,"Voltage magnitude, per unit of v_nom"
v_ang,output,True,float,True,radians,0.0,Voltage angle
marginal_price,output,True,float,True,currency/MWh,0.0,Locational marginal price from LOPF from power balance constraint
