id,Name,Fueltype,Technology,Set,Country,Capacity,Duration,YearCommissioned,Retrofit,lat,lon,File,projectID,bus
0,Alta,Hydro,Reservoir,PP,Norway,100.0,0.0,1987.0,1987.0,69.705012,23.818703,"ENTSOE, IWPDCY.csv, Nordpool","{'CARMA': ['CARMA1122'], 'ENTSOE': ['50WP00000000006N'], 'GEO': ['GEO45724'], 'GPD': ['GPD11499'], 'IWPDCY': ['IWPDCY227'], 'OPSD': ['OEU5366']}",6753
1,Skjomen,Hydro,Reservoir,PP,Norway,300.0,0.0,,,68.182858,17.349864,"ENTSOE, IWPDCY.csv, Nordpool","{'CARMA': ['CARMA41924'], 'ENTSOE': ['50WP00000000633X'], 'GEO': ['GEO45731'], 'GPD': ['GPD11756'], 'IWPDCY': ['IWPDCY398'], 'OPSD': ['OEU5411', 'OEU5413', 'OEU5412']}",6725
2,Svartisen,Hydro,Reservoir,PP,Norway,600.0,0.0,1993.0,2011.0,66.728748,13.914312,"ENTSOE, IWPDCY.csv, Nordpool","{'CARMA': ['CARMA43936'], 'ENTSOE': ['50WP00000000695B'], 'GEO': ['GEO45740'], 'GPD': ['GPD11774'], 'IWPDCY': ['IWPDCY404'], 'OPSD': ['OEU5422', 'OEU5421']}",6787
3,Aurland,Hydro,Pumped Storage,Store,Norway,270.0,0.0,1979.0,1979.0,60.903569999999995,7.201722999999999,"energy_storage_exchange, ENTSOE, IWPDCY.csv, Nordpool","{'CARMA': ['CARMA2568', 'CARMA2567', 'CARMA2569'], 'ENTSOE': ['50WP00000000022P', '50WP00000000024L', '50WP00000000020T', '50WP00000000025J', '50WP00000000023N'], 'ESE': ['ESE178'], 'GPD': ['GPD11510'], 'IWPDCY': ['IWPDCY346'], 'OPSD': ['OEU5367', 'OEU5369', 'OEU5368']}",6428
4,Saurdal,Hydro,Pumped Storage,Store,Norway,640.0,0.0,1986.0,1986.0,59.49881,6.526562,"energy_storage_exchange, ENTSOE, IWPDCY.csv, Nordpool","{'CARMA': ['CARMA39960'], 'ENTSOE': ['50WP00000000607Y'], 'ESE': ['ESE177'], 'GPD': ['GPD11748'], 'IWPDCY': ['IWPDCY333'], 'OPSD': ['OEU5407', 'OEU5408', 'OEU5406', 'OEU5405']}",6443
5,Żarnowiec,Hydro,Pumped Storage,Store,Poland,716.0,0.0,1983.0,2006.0,54.769765500000005,18.0466655,"energy_storage_exchange, ENTSOE, GPI","{'CARMA': ['CARMA50891'], 'ENTSOE': ['19W0000000002418'], 'ESE': ['ESE74'], 'GEO': ['GEO42483'], 'GPD': ['GPD12077'], 'OPSD': ['OEU327', 'OEU330', 'OEU329', 'OEU328']}",5479
6,Solina,Hydro,Pumped Storage,Store,Poland,200.0,0.0,1968.0,2000.0,49.395832299999995,22.460691600000004,"energy_storage_exchange, ENTSOE, GPI","{'CARMA': ['CARMA42275'], 'ENTSOE': ['19W0000000002515'], 'ESE': ['ESE73'], 'GEO': ['GEO42474'], 'GPD': ['GPD12065'], 'OPSD': ['OEU318', 'OEU315', 'OEU317', 'OEU316']}",4420
7,Seitevare,Hydro,Reservoir,PP,Sweden,225.0,0.0,1967.0,1967.0,66.976846,18.573706,"Vattenfall, IWPDCY.csv, Nordpool","{'CARMA': ['CARMA40432'], 'ENTSOE': ['46WPU0000000033U'], 'GEO': ['GEO46254'], 'GPD': ['GPD13942'], 'IWPDCY': ['IWPDCY34'], 'OPSD': ['OEU5483']}",6793
8,Coche,Hydro,Pumped Storage,Store,France,310.0,0.0,1975.0,1975.0,45.482443599999996,6.5338785999999995,"energy_storage_exchange, RTE","{'CARMA': ['CARMA23659'], 'ENTSOE': ['17W100P100P02748'], 'ESE': ['ESE58'], 'GEO': ['GEO39819'], 'OPSD': ['OEU109']}",3535
9,Turów,Lignite,Steam Turbine,PP,Poland,1488.0,0.0,1995.0,1995.0,50.94818,14.912549999999998,"ENTSOE, GPI","{'CARMA': ['CARMA46668'], 'ENTSOE': ['19W000000000199I'], 'GEO': ['GEO40597'], 'GPD': ['GPD12067'], 'OPSD': ['OEU326', 'OEU325', 'OEU324', 'OEU321', 'OEU322', 'OEU323']}",4568
10,Vandellos,Nuclear,Steam Turbine,PP,Spain,1045.31,0.0,1987.0,1987.0,40.950367,0.8657469999999999,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA47723'], 'ENTSOE': ['18WVAN2-12345-0W'], 'GEO': ['GEO5910'], 'GPD': ['GPD13734'], 'OPSD': ['OEU4929']}",1462
11,Erzhausen,Hydro,Pumped Storage,Store,Germany,220.0,4.670000000000001,1964.0,1998.0,51.8989299,9.9261805,energy_storage_exchange,"{'CARMA': ['CARMA12680'], 'ENTSOE': ['11WD2ERZH0002682'], 'ESE': ['ESE36'], 'GEO': ['GEO44352'], 'OPSD': ['BNA0558']}",4763
12,Dychów,Hydro,Pumped Storage,Store,Poland,90.0,0.0,1936.0,2005.0,51.9863325,15.060819899999998,"energy_storage_exchange, GPI","{'CARMA': ['CARMA11576'], 'ENTSOE': ['19W000000000272Y'], 'ESE': ['ESE179'], 'GEO': ['GEO42468'], 'OPSD': ['OEU247', 'OEU248', 'OEU246']}",4570
13,Edolo,Hydro,Pumped Storage,Store,Italy,1000.0,0.0,1984.0,1985.0,46.1804266,10.3298933,"energy_storage_exchange, Terna","{'CARMA': ['CARMA11821'], 'ENTSOE': ['26WIMPI-S03EDLO9'], 'ESE': ['ESE8'], 'GEO': ['GEO43971'], 'OPSD': ['OEU1042']}",3675
14,Studstrup,Hard Coal,Steam Turbine,PP,Denmark,395.0,0.0,1984.0,1986.0,56.24895,10.34725,"ENTSOE, Energinet DK","{'CARMA': ['CARMA43481'], 'ENTSOE': ['45V0000000000148'], 'GEO': ['GEO44220'], 'GPD': ['GPD5447'], 'OPSD': ['OEU5871', 'OEU5870']}",6189
15,Goldisthal,Hydro,Pumped Storage,Store,Germany,1060.0,8.0,2003.0,2004.0,50.5,11.166666699999999,energy_storage_exchange,"{'CARMA': ['CARMA15413'], 'ENTSOE': ['11WD8GOLD1H----6'], 'ESE': ['ESE10'], 'GEO': ['GEO44336'], 'OPSD': ['BNA0350']}",4554
16,Grand'maison dam,Hydro,Pumped Storage,Store,France,1820.0,0.0,1987.0,2017.0,45.205931,6.117151,"energy_storage_exchange, RTE","{'CARMA': ['CARMA15708'], 'ENTSOE': ['17W100P100P02756'], 'ESE': ['ESE6'], 'GEO': ['GEO42969'], 'OPSD': ['OEU110']}",2293
17,Teruel,Lignite,Steam Turbine,PP,Spain,1055.77,0.0,1979.0,1980.0,40.996283,-0.38417,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA45105'], 'ENTSOE': ['18WTER2-12345-03', '18WTER3-12345-0U', '18WTER1-12345-0D'], 'GEO': ['GEO43820'], 'GPD': ['GPD13722'], 'OPSD': ['OEU4648', 'OEU4647', 'OEU4649']}",1520
18,Siersza,Hard Coal,Steam Turbine,PP,Poland,557.0,0.0,1993.0,1993.0,50.20761,19.46145,"ENTSOE, GPI","{'CARMA': ['CARMA41552'], 'ENTSOE': ['19W0000000002361'], 'GEO': ['GEO42463'], 'GPD': ['GPD12063'], 'OPSD': ['OEU314', 'OEU311', 'OEU312', 'OEU313']}",4443
19,Stalowa wola,Hard Coal,Steam Turbine,PP,Poland,250.0,0.0,,,50.55071,22.07761,"ENTSOE, GPI","{'CARMA': ['CARMA43030'], 'ENTSOE': ['19W000000000193U'], 'GEO': ['GEO42464'], 'GPD': ['GPD12066'], 'OPSD': ['OEU319', 'OEU320']}",4438
20,Simmering,CCGT,CCGT,PP,Austria,1272.0,0.0,2009.0,2009.0,48.18331,16.43375,"Wien Energie, http://www.wienenergie.at/eportal3/ep/channelView.do/pageTypeId/67831/channelId/-49066","{'CARMA': ['CARMA41674'], 'ENTSOE': ['14W-PROD-SIM---P'], 'GEO': ['GEO45176'], 'GPD': ['GPD806'], 'OPSD': ['OEU5682']}",3358
21,Herdecke,Hydro,Pumped Storage,Store,Germany,153.0,4.0,1989.0,1989.0,51.4031667,7.432837599999999,energy_storage_exchange,"{'CARMA': ['CARMA22597'], 'ENTSOE': ['11WD7KOEP2P--KWG'], 'ESE': ['ESE39'], 'GEO': ['GEO44351'], 'OPSD': ['BNA0443']}",4689
22,Rybnik,Hard Coal,Steam Turbine,PP,Poland,1790.0,0.0,2008.0,2008.0,50.13170000000001,18.52045,"ENTSOE, GPI","{'CARMA': ['CARMA38356'], 'ENTSOE': ['19W0000000001713'], 'GEO': ['GEO40607'], 'GPD': ['GPD12062'], 'OPSD': ['OEU307', 'OEU310', 'OEU308', 'OEU305', 'OEU304', 'OEU306', 'OEU309', 'OEU303']}",4382
23,Karolin,Hard Coal,Steam Turbine,PP,Poland,212.0,0.0,,,54.04883829999999,23.2837806,"ENTSOE, GPI","{'CARMA': ['CARMA35615'], 'ENTSOE': ['19W0000000000725', '19W0000000000741'], 'GEO': ['GEO42494'], 'GPD': ['GPD12045', 'GPD12044'], 'OPSD': ['OEU257', 'OEU256']}",5423
24,Połaniec,Hard Coal,Steam Turbine,PP,Poland,1657.0,0.0,,,50.43534,21.336739999999995,"ENTSOE, GPI","{'CARMA': ['CARMA35099'], 'ENTSOE': ['19W0000000001519'], 'GEO': ['GEO40656'], 'GPD': ['GPD12058'], 'OPSD': ['OEU294', 'OEU295', 'OEU293', 'OEU292', 'OEU298', 'OEU296', 'OEU297']}",4439
25,Pątnów,Lignite,Steam Turbine,PP,Poland,1718.0,0.0,,,52.30239999999999,18.23807,"ENTSOE, GPI","{'CARMA': ['CARMA33864'], 'ENTSOE': ['19W000000000142A', '19W000000000149X'], 'GEO': ['GEO40613'], 'GPD': ['GPD12061', 'GPD12060'], 'OPSD': ['OEU289', 'OEU291', 'OEU290', 'OEU286', 'OEU287', 'OEU288', 'OEU285']}",4433
26,Ostrołęka,Hard Coal,Steam Turbine,PP,Poland,681.0,0.0,2000.0,2000.0,53.10461999999999,21.613120000000002,"ENTSOE, GPI","{'CARMA': ['CARMA33009'], 'ENTSOE': ['19W0000000001349'], 'GEO': ['GEO40654'], 'GPD': ['GPD12054'], 'OPSD': ['OEU283', 'OEU284', 'OEU282']}",5480
